date,close,high,low,open,volume,ticker,daily_return,next_day_return,log_return,direction
2024-06-11,205.3709716796875,205.38089548057218,191.96709351098235,191.98691085726122,172373300,AAPL,,2.857838717212746,,up
2024-06-12,211.24014282226562,218.30889945026047,205.1231180281253,205.58908283581826,198134300,AAPL,2.857838717212746,0.5491181128002509,2.8177642250046775,up
2024-06-13,212.4001007080078,214.888539245905,209.7827737762817,212.8958066808934,97862700,AAPL,0.5491181128002509,-0.8168333386853965,0.5476159558594286,down
2024-06-14,210.66514587402344,213.32212283006638,209.48536314811375,212.01346682824212,70122700,AAPL,-0.8168333386853965,1.9671376910190164,-0.8201877010563695,up
2024-06-17,214.80921936035156,217.06963733267014,210.8931452933454,211.5375569916551,93728300,AAPL,1.9671376910190164,-1.0984506955912021,1.9480395885401032,down
2024-06-18,212.44964599609375,216.7523850703462,211.17073132176122,215.7213082393038,79943300,AAPL,-1.0984506955912021,-2.1512881470362233,-1.1045282119043578,down
2024-06-20,207.87924194335938,212.4000929584359,207.05638337080816,212.0927425591543,86172500,AAPL,-2.1512881470362233,-1.0444395868514422,-2.174765673992752,down
2024-06-21,205.70806884765625,210.07027533194446,205.33132746963062,208.58315742215362,241805100,AAPL,-1.0444395868514422,0.3132639294595396,-1.0499321348076425,flat
2024-06-24,206.35247802734375,210.87331399723786,204.8157865138524,205.93608683303725,80727000,AAPL,0.3132639294595396,0.4468216697492089,0.3127742803415755,flat
2024-06-25,207.27450561523438,209.5646648210329,206.81844945769743,207.35380525957078,55549700,AAPL,0.4468216697492089,1.9993312692295095,0.4458263853892413,up
2024-06-26,211.41860961914062,213.0147835489249,208.83102368645302,209.68363861405976,66213200,AAPL,1.9993312692295095,0.39858453628263124,1.979607109066343,flat
2024-06-27,212.26129150390625,213.88720639689362,210.52632069800987,212.84622088780682,49772700,AAPL,0.39858453628263124,-1.625411300435431,0.39779229259593746,down
2024-06-28,208.81117248535156,214.21437951883613,208.4939285392998,213.91695291908772,82542700,AAPL,-1.625411300435431,2.9104582806617874,-1.638766020397002,up
2024-07-01,214.88853454589844,215.64200216221636,210.10001313722785,210.26855134899324,60402900,AAPL,2.9104582806617874,1.6240009628674779,2.8689087067968218,up
2024-07-02,218.37832641601562,218.48738234159504,213.2527281692765,214.29369867156123,58046200,AAPL,1.6240009628674779,0.5810933504345694,1.6109551207872144,up
2024-07-03,219.64730834960938,219.64730834960938,217.14894613859082,218.11061688690268,37369800,AAPL,0.5810933504345694,2.162043726049512,0.5794115152346977,up
2024-07-05,224.39617919921875,224.50523511983306,219.74645469045154,219.74645469045154,60412400,AAPL,2.162043726049512,0.6538883238900395,2.139003068536302,up
2024-07-08,225.8634796142578,225.89322076278884,221.3327197032473,225.13973799267995,59085900,AAPL,0.6538883238900395,0.37748470851168836,0.6517597481562641,flat
2024-07-09,226.71607971191406,227.42989753320916,224.4259205051531,225.97252074204383,48076100,AAPL,0.37748470851168836,1.8803659830536557,0.37677402291072515,up
2024-07-10,230.9791717529297,231.07831900756045,227.28120909695775,227.33078272427315,62627700,AAPL,1.8803659830536557,-2.3220950475743907,1.8629056412095963,down
2024-07-11,225.61561584472656,230.39421338925845,223.83107137940016,229.40280147827102,64710600,AAPL,-2.3220950475743907,1.3050975098311213,-2.3494804486646186,up
2024-07-12,228.56011962890625,230.64209091466597,226.71609267309665,226.95403700304678,53046500,AAPL,1.3050975098311213,1.674326767037071,1.2966544926760697,up
2024-07-15,232.386962890625,235.1926606193721,231.0882156126273,234.44910163171727,62631300,AAPL,1.674326767037071,0.17918920594164334,1.6604644362444778,flat
2024-07-16,232.80337524414062,234.2409196318231,230.3347538954296,232.98182214446476,43234300,AAPL,0.17918920594164334,-2.529605750854591,0.17902885361148144,down
2024-07-17,226.91436767578125,229.47221227385296,224.69359950369105,227.47946461019197,57345900,AAPL,-2.529605750854591,-2.0534783667068734,-2.562150282161277,down
2024-07-18,222.25473022460938,228.46097889584826,220.36114484151935,228.3023493485251,66034600,AAPL,-2.0534783667068734,0.0579924625589312,-2.0748553884112475,flat
2024-07-19,222.3836212158203,224.85224251867803,221.36246807560826,222.88925101284036,49151500,AAPL,0.0579924625589312,-0.15602986469246405,0.05797565342873469,flat
2024-07-22,222.03663635253906,225.82382229500527,221.17409763275575,225.06043082550624,48201800,AAPL,-0.15602986469246405,0.4688210949975735,-0.15615171805409525,flat
2024-07-23,223.0775909423828,224.9910238167192,220.76759935066607,222.44308791792702,39960300,AAPL,0.4688210949975735,-2.875418111272854,0.4677255516597774,down
2024-07-24,216.66317749023438,222.86942645430565,215.2652980307627,222.07629380801336,61777600,AAPL,-2.875418111272854,-0.48046240227820336,-2.917568218751605,flat
2024-07-25,215.6221923828125,218.95333716975932,212.77682977395946,217.04981289629316,51391200,AAPL,-0.48046240227820336,0.21609203471286698,-0.4816203333158976,flat
2024-07-26,216.088134765625,217.60499369491455,214.15486954444728,216.82176985722595,41601300,AAPL,0.21609203471286698,0.12846755779309937,0.21585889168413236,flat
2024-07-29,216.36573791503906,217.41663210574902,213.89711684474761,215.0967318967012,36311800,AAPL,0.12846755779309937,0.2565984085045159,0.12838510883196286,flat
2024-07-30,216.92092895507812,218.43778796730905,214.2639371695869,217.3075789949067,41643800,AAPL,0.2565984085045159,1.4990929317613144,0.25626975687812165,up
